t	x	y	z	roll	pitch	yaw	Q1	Q2	Q3	Q4	M1	M2	M3	M4	ax	ay	az	wx	wy	wz
1708591034.8338602	-0.10300000000000001	0.099	-0.01	-0.9400000000000001	0.7000000000000001	-4.33	0.0	0.0	0.0	0.0	-9.0	5.0	-4.0	13.0	0.12	0.18	-10.42	0.12	-0.1	-0.06
1708591035.1004333	-0.10300000000000001	0.099	-0.01	-0.9500000000000001	0.7000000000000001	-4.33	0.0	0.0	0.0	0.0	7.0	3.0	-4.0	1.0	0.13	0.17	-10.42	0.01	-0.11	0.12
1708591035.3650396	-0.10300000000000001	0.099	-0.01	-0.93	0.7000000000000001	-4.33	0.0	0.0	0.0	0.0	-13.0	4.0	10.0	2.0	0.13	0.16	-10.39	0.14	-0.08	0.12
1708591035.6338077	-0.10300000000000001	0.099	-0.01	-0.9400000000000001	0.68	-4.33	0.0	0.0	0.0	0.0	-7.0	2.0	9.0	2.0	0.12	0.17	-10.4	0.0	-0.15	-0.11
1708591035.9272263	-0.10300000000000001	0.099	-0.01	-0.9400000000000001	0.66	-4.33	0.0	0.0	0.0	0.0	-10.0	1.0	9.0	11.0	0.11	0.16	-10.39	0.07	-0.16	0.0
1708591036.1775122	-0.10300000000000001	0.099	-0.01	-0.96	0.68	-4.33	0.0	0.0	0.0	0.0	-10.0	2.0	9.0	10.0	0.11	0.17	-10.4	0.0	-0.11	0.09
1708591036.4395106	-0.10300000000000001	0.099	-0.01	-0.9500000000000001	0.68	-4.33	0.0	0.0	0.0	0.0	-10.0	1.0	7.0	6.0	0.13	0.17	-10.4	0.19	-0.14	-0.12
1708591036.7088647	-0.10300000000000001	0.099	-0.01	-0.9500000000000001	0.67	-4.33	0.0	0.0	0.0	0.0	6.0	3.0	12.0	12.0	0.12	0.17	-10.42	0.06	-0.01	0.0
1708591036.9723997	-0.10300000000000001	0.099	-0.01	-0.96	0.67	-4.33	0.0	0.0	0.0	0.0	-8.0	3.0	8.0	0.0	0.12	0.16	-10.4	-0.01	0.01	-0.01
1708591037.2398388	-0.10300000000000001	0.099	-0.01	-0.9500000000000001	0.68	-4.33	0.0	0.0	0.0	0.0	7.0	2.0	8.0	9.0	0.11	0.17	-10.39	0.02	0.03	-0.16
