t	x	y	z	roll	pitch	yaw	Q1	Q2	Q3	Q4	M1	M2	M3	M4	ax	ay	az	wx	wy	wz
1708590660.570135	-11.487	-1.451	-0.617	-2.08	1.6300000000000001	5.13	0.0	0.0	0.0	0.0	2.0	20.0	-18.0	-61.0	0.24	0.26	-10.38	-3.18	1.6400000000000001	0.05
1708590660.8257494	-11.487	-1.451	-0.617	-2.1	1.62	5.13	0.0	0.0	0.0	0.0	-1.0	23.0	-16.0	-61.0	0.24	0.27	-10.41	-3.17	1.5	0.23
1708590661.0857677	-11.487	-1.451	-0.617	-2.1	1.61	5.13	0.0	0.0	0.0	0.0	8.0	22.0	-14.0	-57.0	0.23	0.26	-10.41	-3.12	1.57	0.12
1708590661.3504977	-11.487	-1.451	-0.617	-2.09	1.62	5.13	0.0	0.0	0.0	0.0	7.0	20.0	-16.0	-59.0	0.24	0.26	-10.42	-3.1	1.61	0.15
1708590661.633615	-11.487	-1.451	-0.617	-2.08	1.6400000000000001	5.13	0.0	0.0	0.0	0.0	-15.0	20.0	-18.0	-59.0	0.23	0.25	-10.39	-3.16	1.44	0.2
1708590661.8861837	-11.487	-1.451	-0.617	-2.1	1.62	5.13	0.0	0.0	0.0	0.0	2.0	22.0	-15.0	-56.0	0.23	0.26	-10.42	-3.18	1.45	0.12
1708590662.1536899	-11.487	-1.451	-0.617	-2.1	1.6400000000000001	5.13	0.0	0.0	0.0	0.0	2.0	21.0	-14.0	-56.0	0.24	0.27	-10.39	-3.12	1.41	0.25
1708590662.415524	-11.487	-1.451	-0.617	-2.09	1.62	5.13	0.0	0.0	0.0	0.0	0.0	22.0	-15.0	-55.0	0.23	0.25	-10.39	-3.04	1.54	-0.07
1708590662.6795776	-11.487	-1.451	-0.617	-2.09	1.62	5.13	0.0	0.0	0.0	0.0	0.0	23.0	-16.0	-55.0	0.23	0.26	-10.4	-3.18	1.49	0.06
1708590662.9471543	-11.487	-1.451	-0.617	-2.07	1.61	5.13	0.0	0.0	0.0	0.0	0.0	22.0	-21.0	-56.0	0.24	0.25	-10.42	-3.08	1.61	0.11
1708590663.216822	-11.487	-1.451	-0.617	-2.07	1.6300000000000001	5.13	0.0	0.0	0.0	0.0	3.0	21.0	-18.0	-56.0	0.23	0.26	-10.39	-3.09	1.54	0.18
1708590663.4810233	-11.487	-1.451	-0.617	-2.09	1.61	5.13	0.0	0.0	0.0	0.0	1.0	24.0	-18.0	-57.0	0.23	0.26	-10.38	-3.02	1.54	0.12
1708590663.7481222	-11.487	-1.451	-0.617	-2.07	1.62	5.13	0.0	0.0	0.0	0.0	0.0	22.0	-18.0	-55.0	0.24	0.27	-10.39	-3.16	1.3800000000000001	0.04
1708590664.0157442	-11.487	-1.451	-0.617	-2.08	1.62	5.13	0.0	0.0	0.0	0.0	8.0	22.0	-15.0	-58.0	0.22	0.25	-10.41	-3.08	1.6	-0.05
1708590664.2775874	-11.487	-1.451	-0.617	-2.09	1.62	5.13	0.0	0.0	0.0	0.0	4.0	21.0	-18.0	-59.0	0.24	0.26	-10.43	-3.1	1.57	0.19
1708590664.65988	-11.487	-1.451	-0.617	-2.06	1.62	5.13	0.0	0.0	0.0	0.0	-1.0	22.0	-18.0	-54.0	0.22	0.25	-10.41	-3.06	1.57	0.08
1708590664.9852135	-11.468	-1.449	-0.618	-1.93	4.57	5.97	1573.0	1656.0	1773.0	1930.0	641.0	639.0	595.0	604.0	2.82	0.4	-10.47	-3.21	3.29	2.19
1708590665.3575103	-11.315	-1.433	-0.637	-2.17	3.75	5.5600000000000005	2333.0	2040.0	2113.0	666.0	-641.0	-609.0	-693.0	-376.0	-3.33	0.32	-10.28	-1.69	-3.37	0.44
1708590665.7401218	-11.301	-1.431	-0.638	-1.8	0.93	5.01	803.0	876.0	1170.0	1263.0	702.0	688.0	656.0	640.0	4.09	0.2	-11.19	-3.0700000000000003	0.9	0.45
1708590666.1069033	-11.13	-1.417	-0.659	-2.37	7.42	3.7800000000000002	4713.0	4896.0	4043.0	3926.0	425.0	384.0	-113.0	-73.0	0.93	0.53	-11.13	-2.85	0.29	-1.22
1708590666.478517	-10.908	-1.409	-0.675	-1.81	2.15	0.5700000000000001	4173.0	4173.0	3643.0	3606.0	542.0	523.0	-339.0	-325.0	0.07	0.8	-10.21	-3.12	0.0	-4.49
1708590666.8049147	-10.734	-1.41	-0.68	-1.94	1.69	-1.29	3936.0	4016.0	3686.0	3660.0	585.0	553.0	-348.0	-276.0	0.27	-0.15	-11.11	0.2	1.84	-2.09
1708590667.1769297	-10.535	-1.418	-0.686	-2.17	1.96	-3.42	4210.0	4026.0	3643.0	3716.0	513.0	531.0	-329.0	-300.0	0.22	1.1300000000000001	-9.03	-1.57	4.11	-5.34
1708590667.545252	-10.336	-1.433	-0.6920000000000001	-1.6500000000000001	1.87	-5.3	3880.0	3953.0	3513.0	3523.0	546.0	542.0	-247.0	-196.0	0.34	-0.26	-9.98	-3.79	1.34	-1.68
1708590667.9382308	-10.133000000000001	-1.456	-0.6990000000000001	-1.58	2.05	-7.49	4236.0	4200.0	3613.0	3906.0	502.0	510.0	-327.0	-255.0	0.36	-0.31	-9.85	-4.5200000000000005	0.9500000000000001	-3.6
1708590668.2831717	-9.931000000000001	-1.487	-0.706	-1.77	1.5	-9.85	3973.0	3980.0	3670.0	3753.0	543.0	531.0	-296.0	-257.0	0.2	-0.15	-11.19	-4.63	0.37	-3.4
1708590668.6175556	-9.755	-1.52	-0.711	-1.71	1.72	-11.55	4190.0	3916.0	4000.0	3870.0	502.0	548.0	-386.0	-273.0	0.05	-0.66	-9.8	-4.39	2.67	0.14
1708590668.986574	-9.555	-1.565	-0.716	-2.31	1.51	-13.72	3990.0	4136.0	3513.0	3650.0	544.0	505.0	-293.0	-273.0	0.17	0.01	-10.9	-3.0300000000000002	0.9500000000000001	-3.29
1708590669.3575191	-9.356	-1.616	-0.721	-1.9100000000000001	1.71	-14.61	4220.0	4210.0	4293.0	4226.0	353.0	363.0	-8.0	52.0	0.47000000000000003	0.46	-10.19	-5.65	1.08	-2.61
