t	x	y	z	roll	pitch	yaw	Q1	Q2	Q3	Q4	M1	M2	M3	M4	ax	ay	az	wx	wy	wz
1709292986.0966313	0.0	0.0	0.0	-1.75	1.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.23	-10.5	-3.18	1.58	0.06
1709292986.1332119	0.0	0.0	0.0	-1.76	1.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.22	-10.49	-3.16	1.56	0.28
1709292986.170062	0.0	0.0	0.0	-1.77	1.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.22	-10.5	-3.08	1.58	0.05
1709292986.2074149	0.0	0.0	0.0	-1.78	1.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.22	-10.48	-2.94	1.49	0.07
1709292986.2427053	0.0	0.0	0.0	-1.78	1.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.21	-10.48	-3.08	1.57	0.19
1709292986.281803	0.0	0.0	0.0	-1.78	1.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.22	-10.47	-3.13	1.6400000000000001	0.0
1709292986.3151417	0.0	0.0	0.0	-1.79	1.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.21	-10.48	-2.94	1.48	0.23
1709292986.3524604	0.0	0.0	0.0	-1.79	1.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.22	-10.47	-3.06	1.49	0.1
1709292986.3913999	0.0	0.0	0.0	-1.81	1.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.24	-10.48	-3.18	1.57	0.18
1709292986.4325294	0.0	0.0	0.0	-1.82	1.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.23	-10.49	-3.0500000000000003	1.6400000000000001	0.23
