t	x	y	z	roll	pitch	yaw	Q1	Q2	Q3	Q4	M1	M2	M3	M4	ax	ay	az	wx	wy	wz
1708334481.6982977	-0.001	0.0	0.0	-1.37	1.27	0.39	0.0	0.0	0.0	0.0	173.0	102.0	-147.0	-88.0	0.22	0.24	-10.41	0.05	0.01	0.01
1708334481.853221	-0.001	0.0	0.0	-1.37	1.26	0.39	0.0	0.0	0.0	0.0	173.0	102.0	-147.0	-88.0	0.23	0.23	-10.38	-0.03	-0.19	-0.02
1708334482.0143588	-0.001	0.0	0.0	-1.36	1.27	0.39	0.0	0.0	0.0	0.0	173.0	102.0	-147.0	-88.0	0.22	0.24	-10.42	-0.04	-0.09	-0.08
1708334482.195894	-0.001	0.0	0.0	-1.35	1.28	0.39	0.0	0.0	0.0	0.0	173.0	102.0	-147.0	-88.0	0.24	0.25	-10.42	0.07	0.0	-0.07
1708334482.3396912	-0.001	0.0	0.0	-1.36	1.27	0.39	0.0	0.0	0.0	0.0	173.0	102.0	-147.0	-88.0	0.23	0.25	-10.43	-0.02	0.03	-0.07
1708334482.4928334	-0.001	0.0	0.0	-1.36	1.25	0.39	0.0	0.0	0.0	0.0	173.0	102.0	-147.0	-88.0	0.22	0.24	-10.43	0.14	-0.01	-0.07
1708334482.6441138	-0.001	0.0	0.0	-1.36	1.26	0.39	0.0	0.0	0.0	0.0	173.0	102.0	-147.0	-88.0	0.23	0.24	-10.42	0.03	0.04	-0.04
1708334482.831329	-0.001	0.0	0.0	-1.35	1.27	0.39	0.0	0.0	0.0	0.0	173.0	102.0	-147.0	-88.0	0.23	0.24	-10.41	0.09	-0.07	0.24
1708334482.9971745	-0.001	0.0	0.0	-1.35	1.26	0.39	0.0	0.0	0.0	0.0	173.0	102.0	-147.0	-88.0	0.22	0.25	-10.42	0.02	0.03	0.0
1708334483.1531942	-0.001	0.0	0.0	-1.34	1.26	0.39	0.0	0.0	0.0	0.0	173.0	102.0	-147.0	-88.0	0.24	0.25	-10.43	0.01	-0.09	0.03
1708334483.333448	-0.001	0.0	0.0	-1.34	1.26	0.39	0.0	0.0	0.0	0.0	173.0	102.0	-147.0	-88.0	0.23	0.24	-10.450000000000001	0.02	-0.15	0.13
1708334483.486881	-0.001	0.0	0.0	-1.35	1.25	0.39	0.0	0.0	0.0	0.0	173.0	102.0	-147.0	-88.0	0.22	0.25	-10.44	-0.01	-0.09	-0.03
1708334483.6383824	-0.001	0.0	0.0	-1.36	1.24	0.39	0.0	0.0	0.0	0.0	173.0	102.0	-147.0	-88.0	0.21	0.24	-10.42	0.01	-0.06	0.03
1708334483.7739217	-0.001	0.0	0.0	-1.36	1.25	0.39	0.0	0.0	0.0	0.0	173.0	102.0	-147.0	-88.0	0.22	0.24	-10.41	0.01	-0.12	-0.15
1708334483.9257367	-0.001	0.0	0.0	-1.36	1.24	0.39	0.0	0.0	0.0	0.0	173.0	102.0	-147.0	-88.0	0.23	0.24	-10.43	0.0	-0.06	0.1
1708334484.0764577	-0.001	0.0	0.0	-1.35	1.25	0.39	0.0	0.0	0.0	0.0	173.0	102.0	-147.0	-88.0	0.23	0.24	-10.41	0.09	-0.15	0.04
1708334484.22705	-0.001	0.0	0.0	-1.35	1.25	0.39	0.0	0.0	0.0	0.0	173.0	102.0	-147.0	-88.0	0.22	0.23	-10.43	0.01	0.09	0.07
1708334484.3827484	-0.001	0.0	0.0	-1.35	1.25	0.39	0.0	0.0	0.0	0.0	173.0	102.0	-147.0	-88.0	0.22	0.24	-10.44	0.14	-0.1	-0.05
1708334484.525773	-0.001	0.0	0.0	-1.37	1.25	0.4	0.0	0.0	0.0	0.0	173.0	102.0	-147.0	-88.0	0.23	0.25	-10.42	-0.04	0.06	-0.04
1708334484.6695094	-0.001	0.0	0.0	-1.36	1.26	0.4	0.0	0.0	0.0	0.0	173.0	102.0	-147.0	-88.0	0.22	0.24	-10.43	0.05	-0.05	0.15
1708334484.8250685	-0.001	0.0	0.0	-1.36	1.26	0.4	0.0	0.0	0.0	0.0	173.0	102.0	-147.0	-88.0	0.23	0.24	-10.43	0.07	0.05	0.03
1708334484.9745836	-0.001	0.0	0.0	-1.36	1.24	0.4	0.0	0.0	0.0	0.0	173.0	102.0	-147.0	-88.0	0.21	0.25	-10.41	-0.04	-0.01	0.03
1708334485.120579	-0.001	0.0	0.0	-1.36	1.24	0.4	0.0	0.0	0.0	0.0	173.0	102.0	-147.0	-88.0	0.22	0.24	-10.43	0.14	-0.07	0.05
1708334485.2730246	-0.001	0.0	0.0	-1.35	1.25	0.4	0.0	0.0	0.0	0.0	173.0	102.0	-147.0	-88.0	0.23	0.24	-10.42	-0.01	0.03	0.0
1708334485.4172142	-0.001	0.0	0.0	-1.35	1.25	0.4	0.0	0.0	0.0	0.0	173.0	102.0	-147.0	-88.0	0.23	0.24	-10.43	-0.04	0.21	0.02
